1,Professor,academic,Computer Science and Engineering
2,Associate Professor,academic,Computer Science and Engineering
3,Assistant Professor,academic,Computer Science and Engineering
4,Research Engineer,academic,Computer Science and Engineering
5,Upper Division Clerk,academic,Computer Science and Engineering
6,Compounder,academic,Computer Science and Engineering
7,student,academic,Computer Science and Engineering
8,spacsconvenor,academic,Computer Science and Engineering
9,spacsassistant,academic,Computer Science and Engineering
10,placement officer,academic,Computer Science and Engineering
11,placement chairman,academic,Computer Science and Engineering
12,CC convenor,administrative,Computer Science and Engineering
13,Leave Intermediary,academic,Computer Science and Engineering
14,Director,administrative,Computer Science and Engineering
15,CSE HOD,academic,Computer Science and Engineering
16,Senior Assistant,academic,Computer Science and Engineering
17,Registrar,academic,Computer Science and Engineering
18,Junior Assistant,academic,Computer Science and Engineering
19,Dean Academic,academic,Computer Science and Engineering
20,Senior Technician,academic,Computer Science and Engineering
21,HOD (ECE),academic,Computer Science and Engineering
22,Junior Technician,academic,Computer Science and Engineering
23,HOD (NS),academic,Computer Science and Engineering
24,Mechatronic convenor,academic,Computer Science and Engineering
25,Junior Engineer,academic,Computer Science and Engineering
26,Dean (P&D),academic,Computer Science and Engineering
27,Dean (R&D),academic,Computer Science and Engineering
28,Driver,academic,Computer Science and Engineering
29,HOD (ME),academic,Computer Science and Engineering
30,Junior Superintendent,academic,Computer Science and Engineering
31,Dean (Student),academic,Computer Science and Engineering
32,Executive Engineer (Civil),academic,Computer Science and Engineering
33,HOD (Design),academic,Computer Science and Engineering
34,Assistant Registrar,academic,Computer Science and Engineering
35,"Incharge, Workshop",academic,Computer Science and Engineering
36,Deputy Registrar,academic,Computer Science and Engineering
37,mess_committee,administrative,Mess Committee
38,mess_warden,administrative,Mess warden
39,mess_convener,administrative,Mess Convener
40,mess_manager,administrative,Mess Manager
41,VhIncharge,administrative,Visitor Hostel Incharge
42,VhCaretaker,administrative,Visitor Hostel Caretaker
43,alumini,academic,Alumini
44,HOD,academic,Computer Science and Engineering
45,academic_user,academic,Computer Science and Engineering
47,dracad,academic,Computer Science and Engineering
48,Dean_s,academic,Computer Science and Engineering
49,dealing assistant,academic,Computer Science and Engineering
50,Electrical_AE,academic,Computer Science and Engineering
51,Electrical_JE,academic,Computer Science and Engineering
52,DeanPnD,academic,Computer Science and Engineering
53,EE,academic,Computer Science and Engineering
54,Civil_AE,academic,Computer Science and Engineering
55,Civil_JE,academic,Computer Science and Engineering
56,co-ordinator,academic,Computer Science and Engineering
57,co co-ordinator,academic,Computer Science and Engineering
