AUTH_FAIL: 23BME020 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs097 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs097 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs096 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23cs097 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs097@iiitdmj.ac.in -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs097 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs097 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs097 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs097 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs097 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs010 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs095 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs095 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs095 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs095 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs095 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: 23bcs095 -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: spacs_asst -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: spacs_asst_login -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
AUTH_FAIL: spacs_asst -> [ErrorDetail(string='Invalid credentials.', code='invalid')]
